Date ,Route Name,Route Name (English),Station Name,Station Name (English),Boarding Passengers,Leaving Passengers,Recorded Date,,,Route Name,Route Name (English),,Station Name,Station Name (English)
20251201,2호선,Line 2,합정,Hapjeong,30041,32247,20251204,,,,,,홍대입구,Hongik University
20251201,2호선,Line 2,홍대입구,Hongik University,65596,68656,20251204,,,,,,신촌,Sinchon
20251201,2호선,Line 2,신촌,Sinchon,40184,40675,20251204,,,,,,이대,Ewha Womans University
20251201,2호선,Line 2,이대,Ewha Womans University,19894,22211,20251204,,,,,,아현,Ahyeon
20251201,2호선,Line 2,아현,Ahyeon,12324,11753,20251204,,,,,,충정로(경기대입구),Chungjeongno (Kyonggi Univ.)
20251201,2호선,Line 2,충정로(경기대입구),Chungjeongno (Kyonggi Univ.),11496,12372,20251204,,,,,,용답,Yongdap
20251201,2호선,Line 2,용답,Yongdap,3288,3365,20251204,,,,,,신답,Sindap
20251201,2호선,Line 2,신답,Sindap,1917,2217,20251204,,,,,,도림천,Dorimcheon
20251201,2호선,Line 2,신설동,Sinseol-dong,3883,3912,20251204,,,,,,양천구청,Yangcheon-gu Office
20251201,2호선,Line 2,도림천,Dorimcheon,1457,1491,20251204,,,,,,신정네거리,Sinjeongnegeori
20251201,2호선,Line 2,양천구청,Yangcheon-gu Office,7660,8167,20251204,,,,,,용두(동대문구청),Yongdu (Dongdaemun-gu Office)
20251201,2호선,Line 2,신정네거리,Sinjeongnegeori,11179,11473,20251204,,,,,,지축,Jichuk
20251201,2호선,Line 2,용두(동대문구청),Yongdu (Dongdaemun-gu Office),2672,2780,20251204,,,,,,구파발,Gupabal
20251201,3호선,Line 3,지축,Jichuk,8214,8503,20251204,,,,,,연신내,Yeonsinnae
20251201,3호선,Line 3,구파발,Gupabal,24293,22986,20251204,,,,,,불광,Bulgwang
20251201,3호선,Line 3,연신내,Yeonsinnae,39757,37864,20251204,,,,,,녹번,Nokbeon
20251201,3호선,Line 3,불광,Bulgwang,18043,18922,20251204,,,,,,홍제,Hongje
20251201,3호선,Line 3,녹번,Nokbeon,17012,15974,20251204,,,,,,무악재,Muakjae
20251201,3호선,Line 3,홍제,Hongje,20126,19337,20251204,,,,,,독립문,Dongnimmun
20251201,3호선,Line 3,무악재,Muakjae,4653,4731,20251204,,,,,,경복궁(정부서울청사),Gyeongbokgung (Government Complex Seoul)
20251201,3호선,Line 3,독립문,Dongnimmun,8091,8522,20251204,,,,,,안국,Anguk
20251201,3호선,Line 3,경복궁(정부서울청사),Gyeongbokgung (Government Complex Seoul),26901,26998,20251204,,,,,,충무로,Chungmuro
20251201,3호선,Line 3,안국,Anguk,26792,26918,20251204,,,,,,동대입구,Dongguk Univ
20251201,3호선,Line 3,종로3가,Jongno 3(sam)-ga,11841,12758,20251204,,,,,,약수,Yaksu
20251201,3호선,Line 3,을지로3가,Euljiro 3(sam)-ga,13952,13227,20251204,,,,,,금호,Geumho
20251201,3호선,Line 3,충무로,Chungmuro,3,0,20251204,,,,,,옥수,Oksu
20251201,3호선,Line 3,동대입구,Dongguk Univ,12080,13254,20251204,,,,,,압구정,Apgujeong
20251201,3호선,Line 3,약수,Yaksu,13722,13563,20251204,,,,,,신사,Sinsa
20251201,3호선,Line 3,금호,Geumho,8835,8290,20251204,,,,,,잠원,Jamwon
20251201,3호선,Line 3,옥수,Oksu,9617,9955,20251204,,,,,,서울역,Seoul Station
20251201,3호선,Line 3,압구정,Apgujeong,33644,35977,20251204,,,,,,고속터미널,Express Bus Terminal
20251201,3호선,Line 3,신사,Sinsa,28546,29736,20251204,,,,,,남부터미널(예술의전당),Nambu Bus Terminal (Seoul Arts Center)
20251201,3호선,Line 3,잠원,Jamwon,7976,7631,20251204,,,,,,양재(서초구청),Yangjae (Seocho-gu Office)
20251201,1호선,Line 1,서울역,Seoul Station,78058,72251,20251204,,,,,,매봉,Maebong
20251201,3호선,Line 3,고속터미널,Express Bus Terminal,45971,43903,20251204,,,,,,도곡,Dogok
20251201,3호선,Line 3,교대(법원.검찰청),Seoul Nat'l Univ. of Education,18850,11351,20251204,,,,,,대치,Daechi
20251201,3호선,Line 3,남부터미널(예술의전당),Nambu Bus Terminal (Seoul Arts Center),32357,32637,20251204,,,,,,학여울,Hangnyeoul
20251201,3호선,Line 3,양재(서초구청),Yangjae (Seocho-gu Office),42532,45394,20251204,,,,,,대청,Daecheong
20251201,3호선,Line 3,매봉,Maebong,14797,14159,20251204,,,,,,일원,Irwon
